Row Labels,2005,Max of Production
Jammu and Kashmir ,30090,61.1
Karnataka,148422,2284
Madhya Pradesh,445107,11119
Maharashtra,148414,6900
Meghalaya,14044,41
Nagaland,84268,5000
Odisha,52025,3819
Punjab,9998,200
Rajasthan,166355,3476
Telangana ,26058,1248
Uttar Pradesh,473162,4285
Uttarakhand,12044,16151
West Bengal,168505,1519
Litchi,4005,0
Tamil Nadu,4005,0
Maize,8390742,904377
Andhra Pradesh,278717,904377
Arunachal Pradesh,164509,11091
Assam,226689,14207
Bihar,1159227,215765
Chandigarh,8022,500
Chhattisgarh,186789,35369
Dadra and Nagar Haveli,4003,105
Gujarat,198569,305400
Haryana,154343,25000
Himachal Pradesh,84161,151635
Jammu and Kashmir ,70129,116170
Jharkhand,70180,12671
Karnataka,846517,524582
Kerala,8054,64
Madhya Pradesh,501282,216648
Maharashtra,599595,554000
Manipur,16005,6400
Meghalaya,96333,7687
Mizoram,80170,7461
Nagaland,122505,20070
Odisha,622126,202549.5
Punjab,132325,240000
Rajasthan,238432,371547
Sikkim,44136,26860
Tamil Nadu,266861,354692
Telangana ,186545,524000
Tripura,60200,1400
Uttar Pradesh,1534644,214748
Uttarakhand,160577,19229
West Bengal,269097,151280
Mango,270601,588344
Andhra Pradesh,38166,588344
Goa,2013,6239
Haryana,10013,6100
Karnataka,30038,81689
Kerala,36126,46783
Madhya Pradesh,32040,0
Maharashtra,22033,62670
Manipur,8009,261
Puducherry,16071,3283
Rajasthan,20024,0
Tamil Nadu,44054,252436
Telangana ,12014,75002
Masoor,2616455,47835
Andhra Pradesh,7996,21439
Assam,208860,2461
Bihar,403371,41278
Chhattisgarh,148507,2269
Haryana,136348,1900
Himachal Pradesh,54093,225
Jammu and Kashmir ,16042,38.3
Jharkhand,30083,2161.71
Madhya Pradesh,295203,47835
Meghalaya,16088,425
Mizoram,6005,48.63
Nagaland,38151,910
Odisha,22021,1270
Punjab,68141,1800
Rajasthan,146304,16404
Telangana ,9995,11169
Tripura,40186,287
Uttar Pradesh,656046,44983
Uttarakhand,128503,4065
West Bengal,184512,26620
Mesta,1145431,437705
Andhra Pradesh,50137,437705
Assam,246740,7318
Bihar,244658,61626
Chhattisgarh,154525,1121
Karnataka,52159,5700
Madhya Pradesh,56272,280
Meghalaya,36139,15063
Nagaland,46263,350
Odisha,33992,16600
Rajasthan,12017,17
Tamil Nadu,12002,491
Telangana ,26041,2075
Tripura,34144,3240
West Bengal,140342,46724
Moong(Green Gram),6189159,130487
Andaman and Nicobar Islands,4020,17.85
Andhra Pradesh,278816,17648
Assam,212829,937
Bihar,658203,17234
Chandigarh,1999,2
Chhattisgarh,335385,705
Gujarat,230741,42600
Haryana,126328,4500
Himachal Pradesh,40077,53
Jammu and Kashmir ,42123,367
Karnataka,367133,30421
Kerala,20129,
Madhya Pradesh,345643,33174
Maharashtra,354957,93600
Mizoram,12019,45
Nagaland,70155,530
Odisha,702395,50190
Puducherry,44141,1258
Punjab,126335,5000
Rajasthan,250444,130487
Tamil Nadu,254720,15555
Telangana ,168391,48408
